country,country_long,name,gppd_idnr,capacity_mw,latitude,longitude,fuel1,fuel2,fuel3,fuel4,commissioning_year,owner,source,url,geolocation_source,year_of_capacity_data,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,estimated_generation_gwh
ROU,Romania,HPP Sugag,WRI1019120,149.0,45.6892,23.6094,Hydro,,,,,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,GEODB,,,,,,862.1608643457383
ROU,Romania,HPP Vidraru,WRI1019112,219.0,45.3667,24.6307,Hydro,,,,,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,GEODB,,,,,,1267.202881152461
ROU,Romania,NPP Cernavoda,WRI1019093,1298.0,44.3215,28.0568,Nuclear,,,,,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,GEODB,,,,,,11676.0
ROU,Romania,Sălbatica I,WRI1022116,70.0,45.0251,28.8558,Wind,,,,2011.0,ENEL GreenPower,Enel Green Power,https://www.enelgreenpower.com/en-GB/company/worldwide/romania/,WRI,,,,,,1124.5336787564768
ROU,Romania,TPP  Braila,WRI1019101,413.0,45.1660,27.9235,Gas,,,,,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,WRI,,,,,,998.4940334128879
ROU,Romania,TPP Brazi,WRI1019111,220.0,44.8802,25.9988,Gas,,,,2007.0,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,GEODB,,,,,,531.8854415274463
ROU,Romania,TPP Bucuresti Sud,WRI1019107,280.0,44.4233,25.9790,Gas,,,,,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,GEODB,,,,,,676.945107398568
ROU,Romania,TPP Bucuresti Vest,WRI1019106,298.0,44.4233,25.9790,Gas,,,,,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,GEODB,,,,,,720.4630071599046
ROU,Romania,TPP CCCC Petrom Brazi,WRI1019097,860.0,44.8802,25.9988,Gas,,,,2012.0,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,GEODB,,,,,,2079.1885441527447
ROU,Romania,TPP Craiova,WRI1019108,262.0,44.3450,23.8156,Coal,,,,1988.0,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,GEODB,,,,,,811.0022596905961
ROU,Romania,TPP Drobeta,WRI1019105,313.0,44.6751,22.6878,Coal,,,,,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,WRI,,,,,,968.8691117677732
ROU,Romania,TPP Galati,WRI1019102,346.0,45.4360,27.9814,Gas,,,,,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,GEODB,,,,,,836.5107398568019
ROU,Romania,TPP Govora,WRI1019118,177.0,45.0400,24.2900,Coal,,,,,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,GEODB,,,,,,547.8908395619677
ROU,Romania,TPP Iernut,WRI1019098,751.0,46.4677,24.1833,Gas,,,,,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,GEODB,,,,,,1815.6634844868736
ROU,Romania,TPP Isalnita,WRI1019099,595.0,44.3886,23.7180,Coal,,,,1987.0,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,GEODB,,,,,,1841.7799409003997
ROU,Romania,TPP Mintia,WRI1019096,1000.0,45.9134,22.8254,Coal,,,,,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,GEODB,,,,,,3095.4284721015124
ROU,Romania,TPP Oradea,WRI1019119,170.0,47.0842,21.8928,Coal,,,,,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,CARMA,,,,,,526.2228402572571
ROU,Romania,TPP Paroseni,WRI1019123,133.0,45.3647,23.2610,Coal,,,,,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,GEODB,,,,,,411.69198678950113
ROU,Romania,TPP Progresu,WRI1019116,184.0,44.3720,26.1073,Gas,,,,,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,GEODB,,,,,,444.8496420047733
ROU,Romania,TPP Rovinari,WRI1019094,1207.0,44.9068,23.1383,Coal,,,,,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,GEODB,,,,,,3736.1821658265253
ROU,Romania,Turceni Energetic Complex,WRI1023225,1896.0,44.6694,23.4080,Coal,,,,,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,WRI,,,,,,5868.932383104468
ROU,Romania,Valea Nucarilor,WRI1022119,70.0,45.0451,28.9607,Wind,,,,2011.0,ENEL GreenPower,Enel Green Power,https://www.enelgreenpower.com/en-GB/company/worldwide/romania/,WRI,,,,,,1124.5336787564768
ROU,Romania,WPP Cogealac,WRI1019109,246.0,44.5903,28.5653,Wind,,,,,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,GEODB,,,,,,3951.932642487047
RUS,Russia,ABAKAN CHP,WRI1003653,270.0,53.7194,91.3219,Coal,,,,1982.0,Kuzbassenergo,Kuzbassenergo,http://sibgenco.ru/about/activity/electric-power-generation/,GEODB,,,,,,1208.3704756654067
RUS,Russia,Anadyr CHPP,WRI1003657,46.0,64.7500,177.4833,Gas,,,,,RusHydro,RusHydro,http://www.eng.rushydro.ru/company_geography/,CARMA,,,,,,381.10061708621254
RUS,Russia,Argayash CHP,WRI1003659,195.0,55.6387,60.7760,Coal,,,,1954.0,Fortum,Fortum,http://www.fortum.com/en/energy-production/combined-heat-and-power/russia/pages/default.aspx,GEODB,,,,,,872.7120102027937
RUS,Russia,Arkhangelsk CHPP,WRI1003660,450.0,64.5753,40.5729,Gas,,,,1970.0,TGC-2,TGC-2,http://www.tgc-2.ru/about/indicators/,WRI,,,,,,3728.158210625992
RUS,Russia,BARNAUL THERMAL POWER STATION-2,WRI1003663,275.0,53.3742,83.7706,Coal,,,,1955.0,Kuzbassenergo,Kuzbassenergo,http://sibgenco.ru/about/activity/electric-power-generation/,GEODB,,,,,,1230.7477066962476
RUS,Russia,BELOVO TPP,WRI1003665,1240.0,54.4453,86.4257,Coal,,,,1964.0,Kuzbassenergo,Kuzbassenergo,http://sibgenco.ru/about/activity/electric-power-generation/,WRI,,,,,,5549.553295648535
RUS,Russia,Balakovo NPP,WRI1023915,4000.0,52.0911,47.9553,Nuclear,,,,,Rosatom,IAEA,http://www.balnpp.rosenergoatom.ru/,WRI,,,,,,25863.99570738687
RUS,Russia,Balakovo TPP-4,WRI1003662,370.0,54.9132,56.0710,Gas,,,,1962.0,t+group,t+group,http://www.tplusgroup.ru/org/saratov/organization/balakovskaja-tehc-4/,GEODB,,,,,,3065.374528736927
RUS,Russia,Belgorod TPP (thermal power plant),WRI1003664,60.0,50.6107,36.5802,Gas,,,,1938.0,Quandra,Quandra,http://www.quadra.ru/about/production_capacity/,CARMA,,,,,,497.08776141679897
RUS,Russia,Beloyarsk,WRI1003666,1480.0,56.8417,61.3225,Nuclear,,,,,Rosatom,IAEA,http://www.rosenergoatom.ru/wps/wcm/connect/rosenergoatom_copy/site_en/NPP/,CARMA,,,,,,9569.678411733143
RUS,Russia,Berezniki CHPP-10,WRI1003667,27.0,53.5097,45.3184,Gas,,,,1953.0,t+group,t+group,http://www.tplusgroup.ru/org/perm/organization/bereznikovskaja-chp10/,CARMA,,,,,,223.68949263755954
RUS,Russia,Berezniki CHPP-2,WRI1003668,127.4,53.5097,45.3184,Gas,,,,1947.0,t+group,t+group,http://www.tplusgroup.ru/org/perm/organization/bereznikovskaja-chp4/,CARMA,,,,,,1055.4830134083365
RUS,Russia,Berezovskaya GRES,WRI1003669,2300.0,55.5766,89.0713,Coal,,,,,e·on Russia,e·on Russia,http://www.eon.com/content/dam/eon-com/en/downloads/a/Acquisition_of_OGK4_17092007.pdf,GEODB,,,,,,10293.5262741868
RUS,Russia,Bezymyanskaya CHP,WRI1003670,170.0,53.1994,50.2948,Gas,,,,1938.0,t+group,t+group,http://www.tplusgroup.ru/org/samara/organization/bezymjanskaja-tehc/,GEODB,,,,,,1408.415324014264
